XFOIL         Version 6.96

Calculated polar for: NACA 4412

1 1 Reynolds number fixed          Mach number fixed

xtrf =   1.000 (top)        1.000 (bottom)
Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
------ -------- --------- --------- -------- -------- --------
-9.250  -0.3484   0.11519   0.10799  -0.0307   1.0000   0.2459
-9.000  -0.3263   0.10991   0.10270  -0.0293   1.0000   0.2536
-8.750  -0.3430   0.10940   0.10231  -0.0284   1.0000   0.2620
-8.500  -0.3340   0.10549   0.09844  -0.0271   1.0000   0.2680
-8.250  -0.3380   0.10368   0.09671  -0.0255   1.0000   0.2771
-8.000  -0.3862   0.10566   0.09896  -0.0226   1.0000   0.2805
-7.750  -0.3424   0.09889   0.09208  -0.0219   1.0000   0.2911
-7.500  -0.3860   0.10017   0.09361  -0.0180   1.0000   0.2969
-7.250  -0.3576   0.09514   0.08853  -0.0169   1.0000   0.3077
-7.000  -0.3988   0.09590   0.08951  -0.0124   1.0000   0.3135
-6.750  -0.3812   0.09202   0.08562  -0.0104   1.0000   0.3258
-6.500  -0.4296   0.09289   0.08673  -0.0077   1.0000   0.3315
-6.250  -0.4111   0.08914   0.08297  -0.0042   1.0000   0.3457
-6.000  -0.4133   0.08662   0.08052  -0.0015   1.0000   0.3557
-5.750  -0.4339   0.08523   0.07926   0.0005   1.0000   0.3681
-5.500  -0.4490   0.08389   0.07801   0.0021   1.0000   0.3833
-5.250  -0.4372   0.08080   0.07495   0.0060   1.0000   0.3957
-5.000  -0.4394   0.07850   0.07271   0.0087   1.0000   0.4103
-4.750  -0.4076   0.05599   0.04887  -0.0396   1.0000   0.1988
-4.500  -0.3867   0.05206   0.04465  -0.0418   1.0000   0.1939
-4.250  -0.3630   0.04815   0.04039  -0.0444   1.0000   0.1911
-4.000  -0.3354   0.04419   0.03592  -0.0475   1.0000   0.1881
-3.750  -0.3092   0.04146   0.03274  -0.0493   1.0000   0.1908
-3.500  -0.2800   0.03898   0.02952  -0.0515   1.0000   0.1969
-3.250  -0.2589   0.03764   0.02820  -0.0515   1.0000   0.2030
-3.000  -0.2321   0.03627   0.02629  -0.0526   1.0000   0.2137
-2.750  -0.2112   0.03545   0.02553  -0.0525   1.0000   0.2250
-2.500  -0.1884   0.03470   0.02464  -0.0528   1.0000   0.2394
-2.250  -0.1656   0.03410   0.02391  -0.0531   1.0000   0.2564
-2.000  -0.1432   0.03369   0.02338  -0.0533   1.0000   0.2769
-1.750  -0.1176   0.03335   0.02302  -0.0542   0.9988   0.3012
-1.500  -0.0654   0.03317   0.02283  -0.0594   0.9883   0.3463
-1.250  -0.0158   0.03295   0.02274  -0.0639   0.9776   0.4048
-1.000   0.0297   0.03258   0.02279  -0.0676   0.9671   0.4910
-0.750   0.0671   0.03154   0.02306  -0.0683   0.9582   0.6968
-0.500   0.1031   0.03143   0.02286  -0.0702   0.9435   1.0000
-0.250   0.1469   0.03237   0.02333  -0.0742   0.9312   1.0000
0.000   0.1804   0.03318   0.02384  -0.0763   0.9178   1.0000
0.250   0.2127   0.03403   0.02444  -0.0782   0.9051   1.0000
0.500   0.2476   0.03490   0.02509  -0.0804   0.8929   1.0000
0.750   0.2900   0.03575   0.02574  -0.0836   0.8821   1.0000
