XFOIL         Version 6.96

Calculated polar for: NACA 2412

1 1 Reynolds number fixed          Mach number fixed

xtrf =   1.000 (top)        1.000 (bottom)
Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
1.250   0.4491   0.00982   0.00415  -0.0652   0.7537   1.0000
1.500   0.4727   0.00988   0.00410  -0.0642   0.7356   1.0000
1.750   0.4959   0.00996   0.00409  -0.0631   0.7163   1.0000
2.000   0.5193   0.01005   0.00410  -0.0621   0.6973   1.0000
2.250   0.5428   0.01017   0.00413  -0.0611   0.6786   1.0000
2.500   0.5663   0.01030   0.00417  -0.0601   0.6604   1.0000
2.750   0.5899   0.01045   0.00424  -0.0592   0.6427   1.0000
3.000   0.6136   0.01062   0.00432  -0.0582   0.6255   1.0000
3.250   0.6373   0.01080   0.00443  -0.0572   0.6088   1.0000
3.500   0.6610   0.01099   0.00456  -0.0563   0.5924   1.0000
3.750   0.6847   0.01119   0.00470  -0.0554   0.5757   1.0000
4.000   0.7080   0.01141   0.00483  -0.0543   0.5577   1.0000
4.250   0.7311   0.01161   0.00498  -0.0533   0.5375   1.0000
4.500   0.7543   0.01182   0.00515  -0.0522   0.5178   1.0000
4.750   0.7778   0.01205   0.00534  -0.0513   0.4995   1.0000
5.000   0.8010   0.01229   0.00554  -0.0503   0.4800   1.0000
5.250   0.8238   0.01256   0.00572  -0.0493   0.4589   1.0000
5.500   0.8465   0.01279   0.00593  -0.0482   0.4349   1.0000
5.750   0.8687   0.01309   0.00616  -0.0471   0.4112   1.0000
6.000   0.8911   0.01338   0.00642  -0.0461   0.3854   1.0000
6.250   0.9129   0.01373   0.00670  -0.0450   0.3582   1.0000
6.500   0.9339   0.01415   0.00702  -0.0438   0.3278   1.0000
6.750   0.9541   0.01465   0.00740  -0.0425   0.2937   1.0000
7.000   0.9731   0.01526   0.00785  -0.0411   0.2573   1.0000
7.250   0.9908   0.01600   0.00841  -0.0396   0.2186   1.0000
7.500   1.0067   0.01693   0.00909  -0.0378   0.1782   1.0000
7.750   1.0218   0.01795   0.00991  -0.0360   0.1446   1.0000
8.000   1.0370   0.01896   0.01076  -0.0341   0.1225   1.0000
8.250   1.0523   0.01995   0.01166  -0.0323   0.1086   1.0000
8.500   1.0679   0.02091   0.01261  -0.0305   0.0995   1.0000
9.000   1.0982   0.02292   0.01462  -0.0268   0.0875   1.0000
