XFOIL         Version 6.96

Calculated polar for: NACA 6412

1 1 Reynolds number fixed          Mach number fixed

xtrf =   1.000 (top)        1.000 (bottom)
Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
------ -------- --------- --------- -------- -------- --------
-9.000  -0.3304   0.13030   0.12383  -0.0292   1.0001   0.1748
-8.750  -0.3583   0.13182   0.12550  -0.0274   1.0001   0.1754
-8.500  -0.3148   0.12222   0.11582  -0.0254   1.0001   0.1826
-8.250  -0.3221   0.12090   0.11458  -0.0236   1.0001   0.1873
-8.000  -0.3420   0.12106   0.11486  -0.0218   1.0001   0.1909
-7.750  -0.3716   0.12225   0.11619  -0.0194   1.0001   0.1923
-7.500  -0.4036   0.12347   0.11758  -0.0172   1.0001   0.1930
-7.250  -0.3607   0.11491   0.10895  -0.0157   1.0001   0.1997
-7.000  -0.3705   0.11359   0.10771  -0.0133   1.0001   0.2039
-6.750  -0.3921   0.11331   0.10754  -0.0107   1.0001   0.2075
-6.500  -0.4215   0.11416   0.10853  -0.0116   1.0001   0.2104
-6.250  -0.4238   0.11077   0.10522  -0.0102   1.0001   0.2128
-6.000  -0.4156   0.10733   0.10179  -0.0065   1.0001   0.2177
-5.750  -0.4218   0.10560   0.10013  -0.0058   1.0001   0.2238
-5.500  -0.4384   0.10518   0.09978  -0.0126   1.0001   0.2297
-5.250  -0.4318   0.10107   0.09572  -0.0059   1.0001   0.2341
-5.000  -0.4327   0.09919   0.09386  -0.0060   1.0001   0.2435
-4.750  -0.4335   0.09652   0.09123  -0.0079   1.0001   0.2501
-4.500  -0.4305   0.09419   0.08894  -0.0058   1.0001   0.2592
-4.250  -0.4270   0.09151   0.08628  -0.0084   1.0001   0.2687
-4.000  -0.4173   0.08945   0.08418  -0.0133   1.0001   0.2837
-3.750  -0.3873   0.08592   0.08059  -0.0182   0.9930   0.3015
-3.500  -0.3563   0.08220   0.07685  -0.0206   0.9829   0.3215
-3.250  -0.3242   0.07938   0.07395  -0.0259   0.9723   0.3544
-3.000  -0.3042   0.07643   0.07101  -0.0252   0.9622   0.3773
-2.750  -0.2800   0.07380   0.06835  -0.0265   0.9523   0.4126
-2.500  -0.2622   0.07155   0.06613  -0.0247   0.9436   0.4643
-2.250  -0.0529   0.05589   0.04808  -0.0876   0.9317   0.2070
-2.000  -0.0005   0.05297   0.04454  -0.0944   0.9228   0.2079
-1.750   0.0439   0.05090   0.04195  -0.0990   0.9135   0.2138
-1.500   0.0783   0.04999   0.04076  -0.1014   0.9041   0.2246
-1.250   0.1235   0.04895   0.03939  -0.1053   0.8955   0.2381
-1.000   0.1507   0.04848   0.03863  -0.1063   0.8858   0.2517
-0.750   0.1967   0.04802   0.03794  -0.1099   0.8781   0.2739
-0.500   0.2151   0.04806   0.03785  -0.1095   0.8685   0.2907
-0.250   0.2630   0.04779   0.03739  -0.1132   0.8611   0.3230
0.000   0.2776   0.04812   0.03764  -0.1121   0.8515   0.3451
0.250   0.3266   0.04795   0.03740  -0.1158   0.8445   0.3941
0.500   0.3387   0.04843   0.03797  -0.1145   0.8354   0.4291
0.750   0.3841   0.04803   0.03809  -0.1175   0.8286   0.5310
1.000   0.3871   0.04738   0.03867  -0.1139   0.8205   0.9999
1.250   0.4254   0.04852   0.03904  -0.1163   0.8130   0.9999
1.500   0.4386   0.04991   0.04017  -0.1154   0.8050   0.9999
1.750   0.4645   0.05112   0.04112  -0.1160   0.7976   0.9999
2.000   0.4843   0.05252   0.04233  -0.1159   0.7905   0.9999
2.250   0.4988   0.05398   0.04366  -0.1153   0.7833   0.9999
2.500   0.5342   0.05516   0.04465  -0.1170   0.7765   0.9999
2.750   0.5333   0.05703   0.04647  -0.1147   0.7697   0.9999
3.000   0.5632   0.05831   0.04763  -0.1158   0.7628   0.9999
3.250   0.5723   0.06014   0.04939  -0.1148   0.7564   0.9999
3.500   0.5833   0.06193   0.05113  -0.1140   0.7502   0.9999
3.750   0.6202   0.06320   0.05230  -0.1157   0.7431   0.9999
4.000   0.6139   0.06554   0.05465  -0.1134   0.7382   0.9999
4.250   0.6273   0.06743   0.05651  -0.1130   0.7325   0.9999
4.500   0.6555   0.06903   0.05806  -0.1139   0.7252   0.9999
4.750   0.6527   0.07151   0.06055  -0.1123   0.7217   0.9999
5.000   0.6602   0.07377   0.06282  -0.1116   0.7175   0.9999
5.250   0.6929   0.07535   0.06437  -0.1128   0.7086   0.9999
5.500   0.6905   0.07809   0.06714  -0.1115   0.7067   0.9999
5.750   0.6933   0.08088   0.06996  -0.1109   0.7062   0.9999
6.000   0.7021   0.08387   0.07298  -0.1112   0.7080   0.9999
6.250   0.7197   0.08705   0.07620  -0.1123   0.7101   0.9999
6.500   0.6387   0.09319   0.08249  -0.1086   0.7826   0.9999
6.750   0.6586   0.09609   0.08541  -0.1095   0.7752   0.9999
7.000   0.6765   0.09828   0.08764  -0.1099   0.7629   0.9999
7.250   0.6788   0.10023   0.08962  -0.1086   0.7534   0.9999
7.500   0.7178   0.10418   0.09361  -0.1117   0.7437   0.9999
7.750   0.7125   0.10520   0.09468  -0.1093   0.7310   0.9999
8.000   0.7210   0.10767   0.09719  -0.1089   0.7213   0.9999
8.250   0.7611   0.11176   0.10136  -0.1119   0.7102   0.9999
8.500   0.7524   0.11275   0.10240  -0.1094   0.6972   0.9999
8.750   0.7588   0.11523   0.10494  -0.1088   0.6864   0.9999
9.000   0.7932   0.11926   0.10905  -0.1111   0.6760   0.9999
9.250   0.7950   0.12088   0.11076  -0.1098   0.6619   0.9999
9.500   0.7958   0.12308   0.11302  -0.1088   0.6495   0.9999
9.750   0.8108   0.12628   0.11631  -0.1093   0.6392   0.9999
10.000   0.8434   0.13017   0.12030  -0.1109   0.6255   0.9999
10.250   0.8399   0.13173   0.12194  -0.1095   0.6113   0.9999
10.500   0.8408   0.13412   0.12442  -0.1088   0.5981   0.9999

XFOIL         Version 6.96

Calculated polar for: NACA 6412

1 1 Reynolds number fixed          Mach number fixed

xtrf =   1.000 (top)        1.000 (bottom)
Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000

alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
------ -------- --------- --------- -------- -------- --------
-8.750  -0.3657   0.12392   0.11950  -0.0276   1.0001   0.0956
-8.500  -0.3935   0.12437   0.12006  -0.0262   1.0001   0.0959
-8.250  -0.4195   0.12441   0.12020  -0.0243   1.0001   0.0960
-8.000  -0.3673   0.11524   0.11096  -0.0217   1.0001   0.0988
-7.750  -0.3473   0.11172   0.10742  -0.0242   0.9963   0.1026
-7.500  -0.3363   0.10865   0.10434  -0.0297   0.9895   0.1073
-7.250  -0.3428   0.10667   0.10238  -0.0508   0.9733   0.1103
-7.000  -0.3193   0.10099   0.09670  -0.0429   0.9727   0.1119
-6.750  -0.2956   0.09735   0.09303  -0.0429   0.9671   0.1149
-6.500  -0.2745   0.09372   0.08938  -0.0477   0.9594   0.1196
-6.250  -0.2591   0.08857   0.08416  -0.0661   0.9449   0.1262
-6.000  -0.2341   0.08517   0.08077  -0.0613   0.9427   0.1294
-5.750  -0.2208   0.08254   0.07814  -0.0622   0.9326   0.1341
-5.500  -0.1927   0.07702   0.07247  -0.0771   0.9225   0.1430
-5.250  -0.1747   0.07417   0.06965  -0.0752   0.9153   0.1457
-5.000  -0.1367   0.06949   0.06468  -0.0893   0.9061   0.1591
-4.750  -0.1209   0.06662   0.06191  -0.0860   0.8991   0.1619
-4.500  -0.0749   0.06220   0.05725  -0.0959   0.8945   0.1775
-4.250  -0.0320   0.04616   0.04005  -0.1114   0.8854   0.1116
-4.000   0.0124   0.04081   0.03396  -0.1169   0.8809   0.1094
-3.750   0.0596   0.03638   0.02884  -0.1219   0.8781   0.1111
-3.500   0.0792   0.03587   0.02850  -0.1209   0.8669   0.1160
-3.250   0.1250   0.03333   0.02534  -0.1243   0.8631   0.1230
-3.000   0.1528   0.03210   0.02391  -0.1247   0.8542   0.1299
-2.750   0.1925   0.03088   0.02234  -0.1265   0.8483   0.1399
-2.500   0.2394   0.02948   0.02085  -0.1297   0.8454   0.1523
-2.250   0.2610   0.02893   0.02013  -0.1286   0.8340   0.1619
-2.000   0.3063   0.02778   0.01881  -0.1312   0.8304   0.1776
-1.750   0.3528   0.02665   0.01766  -0.1340   0.8279   0.1973
-1.500   0.3729   0.02648   0.01742  -0.1325   0.8158   0.2126
-1.250   0.4158   0.02542   0.01645  -0.1346   0.8125   0.2365
-0.750   0.4773   0.02438   0.01548  -0.1349   0.7972   0.2886
-0.500   0.5058   0.02399   0.01516  -0.1348   0.7887   0.3210
-0.250   0.5387   0.02324   0.01457  -0.1352   0.7819   0.3636
0.000   0.5812   0.02202   0.01367  -0.1371   0.7785   0.4425
0.250   0.6154   0.02073   0.01371  -0.1380   0.7684   0.9999
0.500   0.6546   0.02038   0.01303  -0.1393   0.7631   0.9999
0.750   0.6783   0.02066   0.01315  -0.1384   0.7530   0.9999
1.000   0.7136   0.02045   0.01275  -0.1393   0.7469   0.9999
1.250   0.7388   0.02072   0.01290  -0.1387   0.7379   0.9999
1.500   0.7706   0.02067   0.01271  -0.1390   0.7307   0.9999
1.750   0.7990   0.02082   0.01276  -0.1389   0.7231   0.9999
2.000   0.8256   0.02103   0.01289  -0.1386   0.7148   0.9999
2.250   0.8638   0.02079   0.01251  -0.1399   0.7100   0.9999
2.500   0.8791   0.02152   0.01324  -0.1379   0.6992   0.9999
2.750   0.9159   0.02135   0.01295  -0.1391   0.6941   0.9999
3.000   0.9315   0.02212   0.01374  -0.1373   0.6841   0.9999
3.250   0.9656   0.02206   0.01360  -0.1380   0.6785   0.9999
3.500   0.9844   0.02274   0.01429  -0.1366   0.6698   0.9999
3.750   1.0139   0.02290   0.01441  -0.1368   0.6632   0.9999
4.000   1.0411   0.02323   0.01473  -0.1366   0.6567   0.9999
4.250   1.0612   0.02383   0.01537  -0.1354   0.6485   0.9999
4.500   1.0972   0.02376   0.01522  -0.1365   0.6435   0.9999
4.750   1.1094   0.02477   0.01633  -0.1343   0.6343   0.9999
5.000   1.1412   0.02486   0.01640  -0.1347   0.6284   0.9999
5.250   1.1609   0.02556   0.01716  -0.1335   0.6207   0.9999
5.500   1.1851   0.02599   0.01763  -0.1329   0.6135   0.9999
5.750   1.2210   0.02597   0.01758  -0.1339   0.6084   0.9999
6.000   1.2294   0.02715   0.01891  -0.1312   0.5990   0.9999
6.250   1.2657   0.02702   0.01875  -0.1322   0.5933   0.9999
6.500   1.2761   0.02814   0.02003  -0.1298   0.5843   0.9999
6.750   1.3072   0.02824   0.02015  -0.1300   0.5778   0.9999
7.000   1.3248   0.02905   0.02106  -0.1286   0.5699   0.9999
7.250   1.3505   0.02931   0.02139  -0.1281   0.5619   0.9999
7.500   1.3734   0.02977   0.02193  -0.1272   0.5538   0.9999
7.750   1.3974   0.03004   0.02227  -0.1264   0.5450   0.9999
8.000   1.4185   0.03047   0.02281  -0.1252   0.5360   0.9999
8.250   1.4526   0.03004   0.02236  -0.1255   0.5261   0.9999
8.500   1.4655   0.03050   0.02295  -0.1229   0.5140   0.9999
8.750   1.4912   0.03022   0.02269  -0.1219   0.5017   0.9999
9.000   1.5229   0.02963   0.02206  -0.1218   0.4889   0.9999
9.250   1.5396   0.02970   0.02221  -0.1196   0.4759   0.9999
9.500   1.5510   0.03002   0.02266  -0.1167   0.4630   0.9999
9.750   1.5674   0.03010   0.02281  -0.1145   0.4500   0.9999
10.000   1.5843   0.03007   0.02282  -0.1124   0.4364   0.9999
10.250   1.5975   0.03009   0.02288  -0.1096   0.4221   0.9999
10.500   1.6004   0.03041   0.02329  -0.1054   0.4076   0.9999
10.750   1.5968   0.03101   0.02403  -0.1004   0.3930   0.9999
11.000   1.5938   0.03171   0.02481  -0.0958   0.3771   0.9999
11.250   1.5904   0.03256   0.02571  -0.0915   0.3596   0.9999
11.500   1.5830   0.03388   0.02710  -0.0871   0.3399   0.9999
11.750   1.5733   0.03561   0.02886  -0.0830   0.3174   0.9999
12.000   1.5616   0.03775   0.03093  -0.0791   0.2920   0.9999
12.250   1.5460   0.04053   0.03358  -0.0755   0.2642   0.9999
12.500   1.5269   0.04401   0.03690  -0.0722   0.2352   0.9999
12.750   1.5063   0.04801   0.04073  -0.0695   0.2077   0.9999
13.000   1.4863   0.05230   0.04483  -0.0672   0.1842   0.9999
13.250   1.4684   0.05667   0.04902  -0.0654   0.1644   0.9999
13.500   1.4540   0.06082   0.05300  -0.0639   0.1482   0.9999
13.750   1.4437   0.06465   0.05671  -0.0626   0.1343   0.9999
14.000   1.4378   0.06807   0.06005  -0.0615   0.1222   0.9999
14.250   1.4357   0.07102   0.06294  -0.0602   0.1120   0.9999
14.500   1.4371   0.07351   0.06529  -0.0589   0.1031   0.9999
14.750   1.4389   0.07617   0.06797  -0.0580   0.0957   0.9999
15.000   1.4454   0.07823   0.07001  -0.0566   0.0890   0.9999
15.250   1.4517   0.08032   0.07205  -0.0556   0.0832   0.9999
15.500   1.4618   0.08210   0.07389  -0.0542   0.0782   0.9999
15.750   1.4668   0.08457   0.07647  -0.0535   0.0741   0.9999
16.000   1.4892   0.08512   0.07685  -0.0516   0.0696   0.9999
16.250   1.4906   0.08829   0.08031  -0.0511   0.0674   0.9999
16.500   1.4942   0.09122   0.08346  -0.0506   0.0651   0.9999
16.750   1.5004   0.09378   0.08613  -0.0501   0.0629   0.9999
17.000   1.5222   0.09526   0.08752  -0.0487   0.0601   0.9999
17.250   1.5087   0.10002   0.09261  -0.0492   0.0594   0.9999
17.500   1.4948   0.10510   0.09801  -0.0501   0.0587   0.9999
17.750   1.4799   0.11053   0.10375  -0.0514   0.0581   0.9999
18.000   1.4634   0.11645   0.10996  -0.0533   0.0577   0.9999
18.250   1.4440   0.12303   0.11683  -0.0558   0.0575   0.9999
18.500   1.4210   0.13053   0.12462  -0.0593   0.0575   0.9999
18.750   1.3943   0.13916   0.13353  -0.0639   0.0578   0.9999

XFOIL         Version 6.96

Calculated polar for: NACA 6412

1 1 Reynolds number fixed          Mach number fixed

xtrf =   1.000 (top)        1.000 (bottom)
Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
------ -------- --------- --------- -------- -------- --------
-8.000  -0.1668   0.08960   0.08612  -0.0733   0.9635   0.0672
-7.750  -0.1641   0.08548   0.08200  -0.0833   0.9536   0.0713
-7.500  -0.1520   0.07897   0.07549  -0.0933   0.9452   0.0728
-7.250  -0.1249   0.07680   0.07330  -0.0911   0.9442   0.0743
-7.000  -0.0951   0.07338   0.06986  -0.0957   0.9424   0.0770
-6.750  -0.0779   0.06385   0.06012  -0.1193   0.9279   0.0837
-6.500  -0.0530   0.06111   0.05743  -0.1181   0.9269   0.0848
-6.250  -0.0552   0.04110   0.03671  -0.1339   0.9129   0.0632
-6.000  -0.0258   0.03333   0.02830  -0.1398   0.9103   0.0604
-5.750  -0.0160   0.02910   0.02351  -0.1388   0.8995   0.0602
-5.500   0.0168   0.02553   0.01914  -0.1410   0.8965   0.0619
-5.250   0.0521   0.02358   0.01704  -0.1430   0.8944   0.0648
-5.000   0.0715   0.02283   0.01618  -0.1414   0.8850   0.0671
-4.750   0.1053   0.02132   0.01430  -0.1425   0.8812   0.0705
-4.500   0.1409   0.01993   0.01274  -0.1439   0.8784   0.0749
-4.250   0.1636   0.01949   0.01224  -0.1427   0.8697   0.0791
-4.000   0.1960   0.01850   0.01100  -0.1433   0.8650   0.0842
-3.750   0.2309   0.01774   0.01026  -0.1444   0.8615   0.0910
-3.500   0.2541   0.01727   0.00965  -0.1432   0.8519   0.0969
-3.250   0.2864   0.01660   0.00900  -0.1438   0.8467   0.1050
-3.000   0.3136   0.01607   0.00840  -0.1434   0.8390   0.1133
